ID,LtrGrade,Grade,Term_GPA,Course,Name,Age,Attendance,Gender,Latino,Race,ZIP,LAT,LNG,ProfID
18000007,C+,77.13,2.23,ECO 110,Microeconomics,23,88.89,2,1,5,92126,32.908449,-117.14138,76
18000007,D,63.0,2.23,INT 110,Critical Reasoning,23,50.0,2,1,5,92126,32.908449,-117.14138,29
18000007,C+,76.0,2.23,WRI 100,College Composition I,23,55.81,2,1,5,92126,32.908449,-117.14138,10
18000007,B+,87.0,2.23,MTH 100,College Algebra,23,60.0,2,1,5,92126,32.908449,-117.14138,57
18000007,A-,92.39,2.25,MGT 315,Organizational Behavior,23,59.18,2,1,5,92126,32.908449,-117.14138,41
18000007,F,24.33,2.25,WRI 105,College Composition II,23,40.0,2,1,5,92126,32.908449,-117.14138,90
18000007,C,74.87,2.25,MGT 320,HR and Talent Management,23,63.27,2,1,5,92126,32.908449,-117.14138,41
18000048,D+,68.69,1.9,INT 100,Interdisciplinary Liberal Arts,18,62.22,3,0,2,90220,33.88151,-118.234451,25
18000048,B+,88.24,1.9,KIN 200,Introduction to Kinesiology,18,78.13,3,0,2,90220,33.88151,-118.234451,77
18000048,C,75.4,1.9,WRI 100,College Composition I,18,68.89,3,0,2,90220,33.88151,-118.234451,90
2016000002,B+,88.0,2.78,FRS 100,Freshman Seminar,20,100.0,2,1,1,92065,33.053006,-116.850651,12
2016000002,C+,78.0,2.78,INT 100,Interdisciplinary Studies,20,94.12,2,1,1,92065,33.053006,-116.850651,28
2016000002,C,74.0,2.78,MGT 100,Foundations of Business,20,100.0,2,1,1,92065,33.053006,-116.850651,76
2016000002,A,93.82,2.78,WRI 100,College Composition I,20,96.15,2,1,1,92065,33.053006,-116.850651,54
2016000002,B-,81.76,2.78,ECO 115,Principles of Macroeconomics,20,100.0,2,1,1,92065,33.053006,-116.850651,81
2016000002,C+,76.49,3.25,ECO 110,Principles of Microeconomics,20,96.67,2,1,1,92065,33.053006,-116.850651,17
2016000002,B-,82.11,3.25,HIS 200,Special Topics: Civil War and Reconstruction Era,20,100.0,2,1,1,92065,33.053006,-116.850651,12
2016000002,A,93.1,3.25,INT 110,Critical Reasoning,20,93.1,2,1,1,92065,33.053006,-116.850651,29
2016000002,A,96.35,3.25,WRI 105,College Composition II,20,94.12,2,1,1,92065,33.053006,-116.850651,71
2016000002,C+,78.38,2.72,ACC 220,Financial Accounting,20,96.55,2,1,1,92065,33.053006,-116.850651,17
2016000002,A-,90.75,2.72,INT 200,Classical Rhetoric,20,96.3,2,1,1,92065,33.053006,-116.850651,25
2016000002,C+,79.34,2.72,SPA 100,Spanish I,20,100.0,2,1,1,92065,33.053006,-116.850651,19
2016000002,A,95.0,3.3,ACC 230,Managerial Accounting,20,100.0,2,1,1,92065,33.053006,-116.850651,17
2016000002,A-,92.38,3.3,INT 210,Western Civilization &amp; the Formation of Christendom,20,100.0,2,1,1,92065,33.053006,-116.850651,20
2016000002,B,83.0,3.3,MGT 315,Organizational Behavior,20,94.12,2,1,1,92065,33.053006,-116.850651,89
2016000002,B-,80.0,3.3,SPA 105,Spanish II,20,100.0,2,1,1,92065,33.053006,-116.850651,19
2016000002,A,93.6,3.88,BUS 305,Business Law,20,93.33,2,1,1,92065,33.053006,-116.850651,23
2016000002,A,96.55,3.88,COM 105,Oral Communication,20,96.0,2,1,1,92065,33.053006,-116.850651,41
2016000002,A-,91.05,3.88,INT 300,Ethics,20,80.0,2,1,1,92065,33.053006,-116.850651,29
2016000002,A,93.0,3.88,MGT 320,HR and Talent Management,20,95.92,2,1,1,92065,33.053006,-116.850651,41
2016000002,A-,90.04,3.88,MKT 320,Marketing Management,20,97.06,2,1,1,92065,33.053006,-116.850651,22
2016000003,C-,70.0,1.64,BIO 105,Introductory Biology I and LAB,23,100.0,3,0,1,90260,33.88856,-118.351813,6
2016000003,C,74.22,1.64,CHE 105,General Chemistry I and LAB,23,100.0,3,0,1,90260,33.88856,-118.351813,31
2016000003,B-,82.47,1.64,INT 200,Classical Rhetoric,23,88.24,3,0,1,90260,33.88856,-118.351813,28
2016000003,F,47.0,1.64,PSY 150,Introduction to Psychology,23,81.4,3,0,1,90260,33.88856,-118.351813,80
2016000003,D,64.69,1.08,HIS 200,Special Topics: Civil War and Reconstruction Era,23,85.71,3,0,1,90260,33.88856,-118.351813,12
2016000003,0,0.0,1.08,THE 105,New Testament,23,85.71,3,0,1,90260,33.88856,-118.351813,52
2016000003,F,4.0,1.08,INT 210,Western Civilization &amp; the Formation of Christendom,23,65.63,3,0,1,90260,33.88856,-118.351813,20
2016000003,A-,92.0,1.08,MTH 100,College Algebra,23,100.0,3,0,1,90260,33.88856,-118.351813,67
2016000003,F,56.48,1.08,SPA 105,Spanish II,23,88.89,3,0,1,90260,33.88856,-118.351813,19
